iter	Passed	Remaining
1010	10061	34722
1011	10071	34711
1012	10080	34700
1013	10091	34691
1014	10100	34681
1015	10111	34674
1016	10121	34664
1017	10131	34653
1018	10141	34645
1019	10151	34635
1020	10161	34624
1021	10171	34615
1022	10182	34607
1023	10192	34597
1024	10202	34588
1025	10212	34578
1026	10221	34566
1027	10231	34556
1028	10241	34546
1029	10251	34537
1030	10261	34526
1031	10271	34516
1032	10281	34507
1033	10291	34496
1034	10301	34486
1035	10310	34476
1036	10320	34464
1037	10329	34453
1038	10340	34444
1039	10350	34434
1040	10360	34424
1041	10370	34415
1042	10379	34403
1043	10390	34396
1044	10400	34386
1045	10409	34374
1046	10420	34365
1047	10429	34353
1048	10439	34343
1049	10449	34334
1050	10459	34325
1051	10469	34314
1052	10479	34305
1053	10490	34298
1054	10501	34290
1055	10511	34280
1056	10521	34272
1057	10531	34261
1058	10541	34252
1059	10551	34241
1060	10561	34231
1061	10571	34222
1062	10581	34211
1063	10590	34201
1064	10600	34191
1065	10610	34182
1066	10620	34172
1067	10630	34159
1068	10640	34149
1069	10650	34140
1070	10659	34129
1071	10669	34119
1072	10679	34108
1073	10689	34097
1074	10699	34087
1075	10708	34077
1076	10718	34067
1077	10728	34056
1078	10738	34048
1079	10749	34038
1080	10758	34027
1081	10769	34019
1082	10780	34012
1083	10790	34002
1084	10800	33993
1085	10810	33984
1086	10820	33975
1087	10830	33966
1088	10841	33956
1089	10851	33946
1090	10860	33935
1091	10871	33928
1092	10881	33918
1093	10890	33906
1094	10900	33896
1095	10910	33887
1096	10920	33876
1097	10930	33867
1098	10941	33858
1099	10951	33851
1100	10962	33842
1101	10971	33831
1102	10981	33819
1103	10991	33811
1104	11001	33800
1105	11011	33790
1106	11020	33779
1107	11030	33768
1108	11040	33760
1109	11051	33751
1110	11060	33740
1111	11071	33731
1112	11081	33721
1113	11091	33713
1114	11101	33701
1115	11110	33691
1116	11120	33680
1117	11130	33670
1118	11140	33661
1119	11150	33651
1120	11160	33640
1121	11171	33633
1122	11181	33623
1123	11190	33611
1124	11199	33599
1125	11209	33588
1126	11219	33577
1127	11229	33567
1128	11239	33558
1129	11248	33546
1130	11257	33533
1131	11267	33522
1132	11277	33513
1133	11287	33503
1134	11296	33491
1135	11306	33481
1136	11316	33470
1137	11325	33459
1138	11335	33450
1139	11345	33438
1140	11355	33428
1141	11364	33418
1142	11374	33407
1143	11384	33397
1144	11395	33389
1145	11404	33378
1146	11415	33369
1147	11424	33358
1148	11434	33348
1149	11444	33337
1150	11454	33327
1151	11464	33317
1152	11473	33306
1153	11484	33298
1154	11494	33288
1155	11503	33277
1156	11513	33266
1157	11523	33256
1158	11533	33246
1159	11543	33237
1160	11554	33229
1161	11564	33220
1162	11575	33213
1163	11585	33204
1164	11595	33193
1165	11604	33181
1166	11615	33173
1167	11636	33194
1168	11646	33186
1169	11657	33179
1170	11668	33170
1171	11677	33160
1172	11688	33151
1173	11697	33140
1174	11708	33131
1175	11717	33120
1176	11728	33111
1177	11738	33102
1178	11748	33093
1179	11759	33086
1180	11769	33076
1181	11779	33066
1182	11789	33057
1183	11799	33046
1184	11809	33036
1185	11819	33027
1186	11829	33018
1187	11840	33009
1188	11850	32998
1189	11860	32990
1190	11869	32978
1191	11879	32967
1192	11890	32959
1193	11900	32950
1194	11910	32940
1195	11920	32929
1196	11929	32918
1197	11940	32910
1198	11950	32901
1199	11959	32889
1200	11970	32880
1201	11979	32868
1202	11989	32858
1203	11998	32846
1204	12008	32836
1205	12018	32825
1206	12027	32815
1207	12038	32805
1208	12048	32796
1209	12058	32788
1210	12068	32777
1211	12078	32768
1212	12088	32756
1213	12098	32746
1214	12108	32737
1215	12117	32725
1216	12128	32717
1217	12138	32707
1218	12148	32697
1219	12158	32689
1220	12168	32677
1221	12178	32667
1222	12188	32658
1223	12197	32647
1224	12207	32637
1225	12218	32629
1226	12228	32620
1227	12238	32610
1228	12250	32603
1229	12259	32593
1230	12270	32584
1231	12281	32577
1232	12293	32572
1233	12304	32566
1234	12315	32559
1235	12326	32552
1236	12338	32546
1237	12349	32539
1238	12360	32533
1239	12371	32524
1240	12381	32514
1241	12391	32505
1242	12402	32498
1243	12413	32490
1244	12423	32480
1245	12433	32471
1246	12444	32462
1247	12454	32452
1248	12464	32444
1249	12474	32434
1250	12484	32422
1251	12494	32413
1252	12504	32404
1253	12515	32396
1254	12525	32386
1255	12535	32375
1256	12545	32365
1257	12554	32355
1258	12565	32347
1259	12575	32337
1260	12585	32327
1261	12595	32316
1262	12605	32306
1263	12614	32295
1264	12624	32284
